id,text,label,scam_type,language,communication_type,urgency,threat,impersonation,payment_request,credential_request,otp_request,remote_access_request,suspicious_link,reward_or_promise,fear,authority_claim,financial_pressure,sender_type,beneficiary_present,transaction_present,transaction_amount,link_present,action_requested,sensitive_information_requested,source_type,split,annotation_status,notes
M0001,लेनदेन रद्द करने के लिए आपके फोन पर आया OTP बताइए।,SCAM,OTP_CREDENTIAL_THEFT,HINDI,EMAIL,0,0,1,0,0,1,0,0,0,0,0,0,CUSTOMER_SUPPORT,0,0,0,0,SHARE_OTP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0003,इस योजना में आज ₹999 लगाएं और गारंटीड तीन गुना रिटर्न पाएं।,SCAM,INVESTMENT,HINDI,SMS,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,499,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0004,"Your refund has been approved. To release ₹2,500, first pay the processing charge through this UPI request.",SCAM,REFUND,ENGLISH,CHAT,0,0,1,1,0,0,0,0,1,0,0,0,CUSTOMER_SUPPORT,1,1,499,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0005,"मैं मुसीबत में हूं। इस नए UPI पर ₹25,000 अभी भेजो और किसी को फोन मत करना।",SCAM,FAMILY_EMERGENCY,HINDI,SMS,1,0,1,1,0,0,0,0,0,0,0,1,UNKNOWN,1,1,4999,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0006,"Your parcel is held by customs. Pay ₹25,000 immediately through the link or the parcel will be destroyed and a case may be filed.",SCAM,COURIER_CUSTOMS,ENGLISH,CHAT,1,1,1,1,0,0,0,1,0,1,1,1,CUSTOMER_SUPPORT,1,1,1499,1,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0007,Work from home job select ho gaya hai. Joining ke liye ₹999 security fee abhi bhejo.,SCAM,JOB,HINGLISH,EMAIL,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,999,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0010,We are from customer support. Your recent payment failed. Install the support app so we can fix the issue and refund your money.,SCAM,CUSTOMER_SUPPORT,ENGLISH,SMS,0,0,1,1,0,0,0,0,0,0,1,0,CUSTOMER_SUPPORT,1,1,4999,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0012,लेनदेन रद्द करने के लिए आपके फोन पर आया OTP बताइए।,SCAM,OTP_CREDENTIAL_THEFT,HINDI,EMAIL,0,0,1,0,0,1,0,0,0,0,0,0,CUSTOMER_SUPPORT,0,0,0,0,SHARE_OTP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0014,"इस योजना में आज ₹2,500 लगाएं और गारंटीड तीन गुना रिटर्न पाएं।",SCAM,INVESTMENT,HINDI,EMAIL,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,25000,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0015,लेनदेन रद्द करने के लिए आपके फोन पर आया OTP बताइए।,SCAM,OTP_CREDENTIAL_THEFT,HINDI,SMS,0,0,1,0,0,1,0,0,0,0,0,0,CUSTOMER_SUPPORT,0,0,0,0,SHARE_OTP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0017,We are from customer support. Your recent payment failed. Install the support app so we can fix the issue and refund your money.,SCAM,CUSTOMER_SUPPORT,ENGLISH,CHAT,0,0,1,1,0,0,0,0,0,0,1,0,CUSTOMER_SUPPORT,1,1,10000,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0018,"मैं मुसीबत में हूं। इस नए UPI पर ₹50,000 अभी भेजो और किसी को फोन मत करना।",SCAM,FAMILY_EMERGENCY,HINDI,CHAT,1,0,1,1,0,0,0,0,0,0,0,1,UNKNOWN,1,1,50000,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0020,तकनीकी जांच के लिए AnyDesk इंस्टॉल करें और एक्सेस कोड साझा करें।,SCAM,REMOTE_ACCESS,HINDI,CHAT,0,0,1,0,0,0,1,0,0,0,0,0,CUSTOMER_SUPPORT,0,0,0,0,INSTALL_REMOTE_APP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0021,मैं ग्राहक सहायता से हूं। भुगतान ठीक करने के लिए यह ऐप इंस्टॉल करें और स्क्रीन साझा करें।,SCAM,CUSTOMER_SUPPORT,HINDI,SMS,0,0,1,0,0,0,1,0,0,0,1,0,CUSTOMER_SUPPORT,0,0,0,0,INSTALL_REMOTE_APP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0026,मैं ग्राहक सहायता से हूं। भुगतान ठीक करने के लिए यह ऐप इंस्टॉल करें और स्क्रीन साझा करें।,SCAM,CUSTOMER_SUPPORT,HINDI,CHAT,0,0,1,0,0,0,1,0,0,0,1,0,CUSTOMER_SUPPORT,0,0,0,0,INSTALL_REMOTE_APP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0028,"आपका पार्सल कस्टम्स में है। ₹10,000 तुरंत जमा करें वरना पार्सल रद्द होगा।",SCAM,COURIER_CUSTOMS,HINDI,EMAIL,1,0,1,1,0,0,0,0,0,1,1,1,CUSTOMER_SUPPORT,1,1,999,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0030,साइबर अपराध विभाग से बोल रहा हूं। आपके आधार से केस जुड़ा है। सत्यापन के लिए ₹999 भेजें।,SCAM,DIGITAL_ARREST,HINDI,CALL_TRANSCRIPT,0,1,1,1,0,0,0,0,0,1,1,1,CUSTOMER_SUPPORT,1,1,1499,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0031,"आपकी नौकरी पक्की हो गई है। जॉइनिंग से पहले ₹1,499 सुरक्षा शुल्क भेजें।",SCAM,JOB,HINDI,CHAT,0,0,1,1,0,0,0,0,1,0,0,0,UNKNOWN,1,1,25000,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0032,"इस योजना में आज ₹2,500 लगाएं और गारंटीड तीन गुना रिटर्न पाएं।",SCAM,INVESTMENT,HINDI,CALL_TRANSCRIPT,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,10000,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0033,"आपका रिफंड स्वीकृत है। ₹50,000 का प्रोसेसिंग शुल्क पहले जमा करें।",SCAM,REFUND,HINDI,SMS,0,0,1,1,0,0,0,0,1,0,0,0,CUSTOMER_SUPPORT,1,1,2500,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0034,Work from home job select ho gaya hai. Joining ke liye ₹499 security fee abhi bhejo.,SCAM,JOB,HINGLISH,CHAT,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,2500,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0035,Your bank account will be blocked today. Verify your KYC immediately using the link below and share the OTP with our executive.,SCAM,BANK_IMPERSONATION,ENGLISH,CHAT,1,1,1,0,0,1,0,1,0,1,1,0,BANK,0,0,0,1,SHARE_OTP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0036,We are from customer support. Your recent payment failed. Install the support app so we can fix the issue and refund your money.,SCAM,CUSTOMER_SUPPORT,ENGLISH,EMAIL,0,0,1,1,0,0,0,0,0,0,1,0,CUSTOMER_SUPPORT,1,1,2500,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0037,"साइबर अपराध विभाग से बोल रहा हूं। आपके आधार से केस जुड़ा है। सत्यापन के लिए ₹2,500 भेजें।",SCAM,DIGITAL_ARREST,HINDI,CHAT,0,1,1,1,0,0,0,0,0,1,1,1,CUSTOMER_SUPPORT,1,1,50000,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0038,"रिफंड पाने के लिए ₹25,000 का UPI अनुरोध स्वीकार करें। तभी पैसा मिलेगा।",SCAM,UPI_PAYMENT,HINDI,CALL_TRANSCRIPT,0,0,1,1,0,0,0,0,0,0,0,0,CUSTOMER_SUPPORT,1,1,999,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0040,"This is an official cyber-crime notice. Your Aadhaar is linked to an illegal case. Stay on the call and transfer ₹25,000 for verification.",SCAM,DIGITAL_ARREST,ENGLISH,CHAT,0,1,1,1,0,0,0,1,0,1,1,1,CUSTOMER_SUPPORT,1,1,2500,1,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0041,Your transaction is being cancelled. Tell me the OTP you just received so I can reverse the payment.,SCAM,OTP_CREDENTIAL_THEFT,ENGLISH,EMAIL,0,0,1,1,0,1,0,0,0,0,0,0,CUSTOMER_SUPPORT,1,1,1499,0,TRANSFER_MONEY,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0042,आपका KYC लंबित है। दो घंटे में बैंकिंग सेवा बंद हो जाएगी। अभी विवरण भरें।,SCAM,KYC,HINDI,SMS,1,1,1,0,1,0,0,0,0,1,1,0,BANK,0,0,0,0,OPEN_LINK,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0043,This is an official cyber-crime notice. Your Aadhaar is linked to an illegal case. Stay on the call and transfer ₹499 for verification.,SCAM,DIGITAL_ARREST,ENGLISH,CALL_TRANSCRIPT,0,1,1,1,0,0,0,1,0,1,1,1,CUSTOMER_SUPPORT,1,1,1499,1,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0044,"साइबर अपराध विभाग से बोल रहा हूं। आपके आधार से केस जुड़ा है। सत्यापन के लिए ₹50,000 भेजें।",SCAM,DIGITAL_ARREST,HINDI,CHAT,0,1,1,1,0,0,0,0,0,1,1,1,CUSTOMER_SUPPORT,1,1,499,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0047,This is an official cyber-crime notice. Your Aadhaar is linked to an illegal case. Stay on the call and transfer ₹499 for verification.,SCAM,DIGITAL_ARREST,ENGLISH,CALL_TRANSCRIPT,0,1,1,1,0,0,0,1,0,1,1,1,CUSTOMER_SUPPORT,1,1,499,1,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0048,मैं ग्राहक सहायता से हूं। भुगतान ठीक करने के लिए यह ऐप इंस्टॉल करें और स्क्रीन साझा करें।,SCAM,CUSTOMER_SUPPORT,HINDI,SMS,0,0,1,0,0,0,1,0,0,0,1,0,CUSTOMER_SUPPORT,0,0,0,0,INSTALL_REMOTE_APP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0049,Suspicious activity was detected. Your account will be permanently suspended unless you confirm your login and card information at http://verify-example.test.,SCAM,ACCOUNT_SUSPENSION,ENGLISH,CHAT,0,1,1,0,1,0,0,1,0,1,1,0,BANK,0,0,0,1,OPEN_LINK,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0051,संदिग्ध गतिविधि मिली है। खाता बंद होने से पहले इस लिंक पर लॉगिन जानकारी भरें।,SCAM,ACCOUNT_SUSPENSION,HINDI,EMAIL,0,1,1,0,1,0,0,1,0,1,1,0,BANK,0,0,0,1,OPEN_LINK,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0052,"Refund lene ke liye ₹2,500 ka UPI collect request approve karo, tabhi paisa milega.",SCAM,UPI_PAYMENT,HINGLISH,CHAT,1,0,1,1,0,0,0,0,0,0,0,1,CUSTOMER_SUPPORT,1,1,10000,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0053,"Refund lene ke liye ₹25,000 ka UPI collect request approve karo, tabhi paisa milega.",SCAM,UPI_PAYMENT,HINGLISH,CALL_TRANSCRIPT,1,0,1,1,0,0,0,0,0,0,0,1,CUSTOMER_SUPPORT,1,1,4999,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0055,"इस योजना में आज ₹2,500 लगाएं और गारंटीड तीन गुना रिटर्न पाएं।",SCAM,INVESTMENT,HINDI,EMAIL,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,1499,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0056,We are from customer support. Your recent payment failed. Install the support app so we can fix the issue and refund your money.,SCAM,CUSTOMER_SUPPORT,ENGLISH,CALL_TRANSCRIPT,0,0,1,1,0,0,0,0,0,0,1,0,CUSTOMER_SUPPORT,1,1,1499,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0057,"इस योजना में आज ₹4,999 लगाएं और गारंटीड तीन गुना रिटर्न पाएं।",SCAM,INVESTMENT,HINDI,EMAIL,1,0,1,1,0,0,0,0,1,0,0,1,UNKNOWN,1,1,499,0,TRANSFER_MONEY,0,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
M0060,लेनदेन रद्द करने के लिए आपके फोन पर आया OTP बताइए।,SCAM,OTP_CREDENTIAL_THEFT,HINDI,EMAIL,0,0,1,0,0,1,0,0,0,0,0,0,CUSTOMER_SUPPORT,0,0,0,0,SHARE_OTP,1,SYNTHETIC,TRAIN,ANNOTATED,Synthetic prototype example; intentionally contains social-engineering cues.
